athleteName;swissAthleticsDBId; 
Diana Abegglen;4sgua-efm03e-io3ble2p-1-iol1j1kh-j4r6; 
TV Unterseen Frauen;TEAM.WEB.101600; 
Megan Ashanti Gloor;CONTACT.WEB.136035; 
