"Number of Leistungen";Wettkampfname;Ort;Datum;ID
32;"Schnällscht Bödeler";Interlaken;2017-05-06;2112
48;"UBS Kids Cup";Interlaken;2017-05-27;2113
14;"Schnällschte Oberländer";Thun;2017-06-03;2118
16;"Kantonale Meisterschaften";Thun;2017-06-10;2119
53;"SVM Nachwuchs";Bern;2017-06-18;2122
48;"UBS Kids Cup";Interlaken;2017-06-28;2130
4;"UBS Kids Cup";Thun;2017-07-01;2132
3;"Kantonalfinal Swiss Athletic Sprint";Kirchberg;2017-07-02;2131
