"Number of Leistungen";Wettkampfname;Ort;Datum;ID
4;"UBS Kids Cup";Tenero;2017-04-19;2111
28;"Schnällscht Bödeler";Interlaken;2017-05-06;2112
61;"LMM Vorrunde";Interlaken;2017-05-26;2115
57;"UBS Kids Cup";Interlaken;2017-05-27;2113
13;"Schnällschte Oberländer";Thun;2017-06-03;2118
24;"Kantonale Meisterschaften";Thun;2017-06-10;2119
9;Abendmeeting;Thun;2017-06-21;2123
4;"Regionale Meisterschaften";Bern;2017-06-24;2127
32;"UBS Kids Cup";Interlaken;2017-06-28;2130
6;"Kantonalfinal Swiss Athletic Sprint";Kirchberg;2017-07-02;2131
