"Number of Leistungen";Wettkampfname;Ort;Datum;ID
16;"Schnällscht Bödeler";Interlaken;2017-05-06;2112
23;"UBS Kids Cup";Interlaken;2017-05-27;2113
6;"Schnällschte Oberländer";Thun;2017-06-03;2118
4;"SVM Nachwuchs";Bern;2017-06-18;2122
32;"UBS Kids Cup";Interlaken;2017-06-28;2130
4;"UBS Kids Cup";Thun;2017-07-01;2132
4;"Kantonalfinal Swiss Athletic Sprint";Kirchberg;2017-07-02;2131
